ID	Tactic	Platform	Permissions	Data Sources	Version	Created	Last Modified	Name	File
IT1000	Proactive Measures	Linux / Mac / Mobile / Windows	Standard	Tools	1.0	04/28/2020	01/13/2025	DLP Enforcement	TTPs/IT1000-DLP Enforcement.md
IT1001	Proactive Measures	Linux / Mac / Mobile / Windows	Standard	Tools	1.0	04/28/2020	01/13/2025	Prevent Backups to Unapproved Storage Locations	TTPs/IT1001-Unapproved Storage Locations.md
IT1002	Proactive Measures	Linux / Mac / Mobile / Windows	Standard	Tools	1.0	04/28/2020	01/13/2025	Employee Awareness	TTPs/IT1002-Employee Awareness.md
IT1003	Proactive Measures	Linux / Mac / Mobile / Windows	Standard	Tools	1.0	04/28/2020	01/13/2025	Collaboration with HR	TTPs/IT1003-Collaboration with HR.md
IT1004	Proactive Measures	Linux / Mac / Mobile / Windows	Standard	Tools	1.0	04/28/2020	01/14/2025	Collaboration with Legal	TTPs/IT1004-Collaboration with Legal.md
IT1005	Initial Discovery	Linux / Mac / Mobile / Windows	Standard	Network Traffic, Endpoint Data	1.1	04/28/2020	01/15/2025	Browsing Job Sites	TTPs/IT1005-Browsing Job Sites.md
IT1006	Initial Discovery	Linux / Mac / Mobile / Windows	Standard	HR Data	1.1	04/28/2020	01/15/2025	Employee Facing Disciplinary Actions	TTPs/IT1006-Employee Facing Disciplinary Actions.md
IT1007	Initial Discovery	Linux / Mac / Mobile / Windows	Standard	HR Data / Application / Authentication / Endpoint / Network / Sensitive Information Storage Locations / Tools	1.0	04/28/2020	01/15/2025	Pending Termination/Resignation	TTPs/IT1007-Pending Termination-Resignation.md
IT1008	Initial Discovery	Linux / Mac / Mobile / Windows	Standard	HR Data / Application / Authentication / Endpoint / Network / Sensitive Information Storage Locations / Tools	1.1	04/28/2020	01/15/2025	Corporate Restructuring/Reduction in Workforce	TTPs/IT1008-Corporate Restructuring-Reduction in Workforce.md
IT1009	Initial Discovery	Linux / Mac / Mobile / Windows	Standard	HR Data / Application / Authentication / Endpoint / Network / Sensitive Information Storage Locations / Tools	1.0	04/28/2020	01/15/2025	Correspondence with Competitors	TTPs/IT1009-Correspondence with Competitors.md
IT1010	Initial Discovery	Linux / Mac / Mobile / Windows	Standard	Badge System / CCTV	1.1	04/28/2020	01/15/2025	Attempted Access to Restricted Areas	TTPs/IT1010-Attempted Access to Restricted Areas.md
IT1011	Initial Discovery	Linux / Mac / Mobile / Windows	Standard	Application / Endpoint / Network Logs	1.1	04/28/2020	01/16/2025	Suspicious Intranet Activity	TTPs/IT1011-Suspicious Intranet Activity.md
IT1012	Initial Discovery	Linux / Mac / Mobile / Windows	Standard	Application / Authentication / Endpoint / Network / Tools	1.1	04/28/2020	01/16/2025	Activity Outside of Normal Scope	TTPs/IT1012-Activity Outside of Normal Scope.md
IT1013	Initial Discovery	Linux / Mac / Mobile / Windows	Standard	Application / Authentication / Endpoint / Network / Tools	1.1	04/28/2020	01/16/2025	Activity Outside of Normal Hours	TTPs/IT1013-Activity Outside of Normal Hours.md
IT1014	Initial Discovery	Linux / Mac / Mobile / Windows	Standard	Application / Authentication / Endpoint / Network / Tools	1.1	04/28/2020	01/16/2025	Suspicious Creation of New Account	TTPs/IT1014-Suspicious Creation of New Account.md
IT1015	Initial Discovery	Linux / Mac / Mobile / Windows	Standard	Application / Authentication / Endpoint / Network / Tools / Email	1.1	04/28/2020	01/16/2025	Correspondence with Former Employee	TTPs/IT1015-Correspondence with Former Employee.md
IT1016	Initial Discovery	Linux / Mac / Mobile / Windows	Standard	Application / Authentication / Endpoint / Network / Tools / Email	1.1	04/28/2020	01/16/2025	Modify/Delete Logs	TTPs/IT1016-Modify-Delete Logs.md
IT1017	Initial Discovery	Linux / Mac / Mobile / Windows	Admin	Application / Authentication / Endpoint / Network / Tools / Email	1.1	04/28/2020	01/16/2025	Use of Offensive/Malicious Tools	TTPs/IT1017-Use of Offensive-Malicious Tools.md
IT1018	Collection	Linux / Mac / Mobile / Windows	Admin	Application / Authentication / Endpoint / Network / Tools / Email	1.0	04/28/2020	01/14/2025	Downloads from Application	TTPs/IT1018-Downloads from Application.md
IT1019	Collection	Linux / Mac / Mobile / Windows	Admin	Application / Authentication / Endpoint / Network / Tools / Email	1.0	04/28/2020	01/14/2025	Downloads from Internal File Share	TTPs/IT1019-Downloads from Internal File Share.md
IT1020	Collection	Linux / Mac / Mobile / Windows	Admin	Application / Authentication / Endpoint / Network / Tools / Email	1.1	04/28/2020	01/16/2025	Downloads from Email	TTPs/IT1020-Downloads from Email.md
IT1021	Collection	Linux / Mac / Mobile / Windows	Admin	Application / Authentication / Endpoint / Network / Tools / Email	1.1	04/28/2020	01/16/2025	Downloads from IM/Chat	TTPs/IT1021-Downloads from IM-Chat.md
IT1022	Collection	Linux / Mac / Mobile / Windows	Admin	Application / Authentication / Endpoint / Network / Tools / Email	1.1	04/28/2020	01/16/2025	Downloads from Intranet	TTPs/IT1022-Downloads from Intranet.md
IT1023	Collection	Linux / Mac / Mobile / Windows	Admin	Application / Authentication / Endpoint / Network / Tools / Email	1.1	04/28/2020	01/16/2025	Copying System Backups	TTPs/IT1023-Copying System Backups.md
IT1024	Exfiltration	Linux / Mac / Mobile / Windows	Admin	Application / Authentication / Endpoint / Network / Tools / Email	1.1	04/28/2020	01/16/2025	Upload to 3rd Party File Share	TTPs/IT1024-Upload to 3rd Party File Share.md
IT1025	Exfiltration	Linux / Mac / Mobile / Windows	Admin	Application / Authentication / Endpoint / Network / Tools / Email	1.1	04/28/2020	01/27/2025	External Email with Attachments	TTPs/IT1025-External Email with Attachments.md
IT1026	Exfiltration	Linux / Mac / Mobile / Windows	Admin	Application / Authentication / Endpoint / Network / Tools / Email	1.1	04/28/2020	01/27/2025	Upload to Removable Storage Device	TTPs/IT1026-Upload to Removable Storage Device.md
IT1027	Exfiltration	Linux / Mac / Mobile / Windows	Admin	Application / Authentication / Endpoint / Network / Tools / Email	1.1	04/28/2020	01/27/2025	AirDrop to a Device	TTPs/IT1027-AirDrop to a Device.md
IT1028	Exfiltration	Linux / Mac / Mobile / Windows	Admin	Application / Authentication / Endpoint / Network / Tools / Email	1.1	04/28/2020	01/27/2025	Printing	TTPs/IT1028-Printing.md
IT1029	Business Impact	Linux / Mac / Mobile / Windows	Admin	Application / Authentication / Endpoint / Network / Tools / Email	1.1	04/28/2020	01/27/2025	Bulk Delete Files	TTPs/IT1029-Bulk Delete Files.md
IT1030	Business Impact	Linux / Mac / Mobile / Windows	Admin	Application / Authentication / Endpoint / Network / Tools / Email / Physical Security Logs / CCTV	1.1	04/28/2020	01/27/2025	Destruction of Physical Device	TTPs/IT1030-Destruction of Physical Device.md
IT1031	Business Impact	Linux / Mac / Mobile / Windows	Admin	Application / Authentication / Endpoint / Network / Tools / Email	1.1	04/28/2020	01/27/2025	Changing Service Account Password	TTPs/IT1031-Changing Service Account Password.md
IT1032	Business Impact	Linux / Mac / Mobile / Windows	Admin	Application / Authentication / Endpoint / Network / Tools / Email	1.1	04/28/2020	01/27/2025	Malicious Changes to Application/System	TTPs/IT1032-Malicious Changes to Application-System.md
IT1033	Business Impact	Linux / Mac / Mobile / Windows	Admin	Application / Authentication / Endpoint / Network / Tools / Email / Social Media Monitoring Tools	1.1	04/28/2020	01/27/2025	Malicious Social Media Post	TTPs/IT1033-Malicious Social Media Post.md
IT1034	Business Impact	Linux / Mac / Mobile / Windows	Admin	Application / Authentication / Endpoint / Network / Tools / Email / Financial Systems	1.1	04/28/2020	01/27/2025	Misappropriations of Funds	TTPs/IT1034-Misappropriations of Funds.md
IT1035	Business Impact	Linux / Mac / Mobile / Windows	Admin	Application / Authentication / Endpoint / Network / Tools / Email / Timekeeping Systems	1.1	04/28/2020	01/27/2025	Anomalous Timekeeping Activity	TTPs/IT1035-Anomalous Timekeeping Activity.md
IT1036	Business Impact	Linux / Mac / Mobile / Windows	Admin	Application / Authentication / Endpoint / Network / Tools / Email / Asset Management Systems	1.1	04/28/2020	01/27/2025	Misappropriations of Assets	TTPs/IT1036-Misappropriations of Assets.md
IT1037	Business Impact	Linux / Mac / Mobile / Windows	Admin	Application / Authentication / Endpoint / Network / Tools / Email	1.1	04/28/2020	01/29/2025	Forwarding Internal Communications to 3rd Party	TTPs/IT1037-Forwarding Internal Communications to 3rd Party.md
IT1038	Business Impact	Linux / Mac / Mobile / Windows	Admin	Application / Authentication / Endpoint / Network / Tools / Email / Financial Systems	1.1	04/28/2020	01/29/2025	Insider Trading Violations	TTPs/IT1038-Insider Trading Violations.md
IT1039	Business Impact	Linux / Mac / Mobile / Windows	Admin	Application / Authentication / Endpoint / Network / Tools / Email / Cloud Storage / Code Repositories	1.1	04/28/2020	01/29/2025	Exposure of Sensitive/Confidential Information in Public Repositories	TTPs/IT1039-Exposure of Sensitive-Confidential Information in Public Repositories.md
IT1040	Exfiltration	Linux / Mac / Mobile / Windows	Admin	Application / Authentication / Endpoint / Network / Tools / Email	1.1	04/28/2020	01/30/2025	Use of File Share Site with External User	TTPs/IT1040-Use of File Share Site with External User.md
IT1041	Collection	Linux / Mac / Mobile / Windows	Admin	Application / Authentication / Endpoint / Network / Tools / Email	1.1	04/28/2020	01/30/2025	Screenshots	TTPs/IT1041-Screenshots.md
IT1042	Initial Discovery	Linux / Mac / Mobile / Windows	Standard	Application / Authentication / Endpoint / Network / Tools / Email / HR Data	1.1	04/28/2020	01/30/2025	Multiple Employees Leaving to Same Company	TTPs/IT1042-Multiple Employees Leaving to Same Company.md
IT1043	Proactive Measures	Linux / Mac / Mobile / Windows	Standard	Tools / Authentication / Identity & Access Management (IAM)	1.1	04/28/2020	01/30/2025	Role-Based Access	TTPs/IT1043-Role Based Access.md
IT1044	Proactive Measures	Linux / Mac / Mobile / Windows	Standard	Application / Authentication / Endpoint / Network / Tools / Email / Cloud Logs / SIEM	1.1	04/28/2020	01/30/2025	Logging and Monitoring	TTPs/IT1044-Logging-Monitoring.md
IT1045	Proactive Measures	Linux / Mac / Mobile / Windows	Standard	N/A	1.1	06/06/2022	01/30/2025	Collaboration with Privacy Team	TTPs/IT1045-Collaboration with Privacy Team.md
IT1046	Initial Discovery	Linux / Mac / Mobile / Windows	Standard	Endpoint Logs / DLP Events / Network Traffic / Email Attachments	1.1	06/23/2022	01/30/2025	Downloading Pre-Employment Paperwork	TTPs/IT1046-Downloading Pre-employment Paperwork.md
IT1047	Business Impact	Linux / Mac / Mobile / Windows	Standard	Badge Reader Logs / CCTV Logs / Security Alarm Logs / IoT Device Logs	1.1	06/23/2022	01/30/2025	Tampering with Physical Security Devices	TTPs/IT1047-Tampering with Physical Security Devices.md
IT1048	Business Impact	Linux / Mac / Mobile / Windows	Standard	Badge Reader Logs / CCTV Logs / Endpoint Logs / Application Logs / Authentication Logs / Network Traffic Logs	1.1	06/23/2022	01/30/2025	Unauthorized 3rd Party Outsourcing	TTPs/IT1048-Unauthorized 3rd Party Outsourcing.md
IT1049	Initial Discovery	Linux / Mac / Mobile / Windows	Standard	HR Data / Endpoint Logs / Application Logs / Authentication Logs / Network Traffic	1.1	07/07/2022	01/30/2025	Unusually Short Employment	TTPs/IT1049-Unusually Short Employment.md
IT1050	Initial Discovery	Linux / Mac / Mobile / Windows	Standard	HR Data / Endpoint Logs / Application Logs / Authentication Logs / Network Traffic / Dark Web Monitoring	1.1	07/07/2022	01/30/2025	Nation State Recruiting Program	TTPs/IT1050-Nation State Recruiting Program.md
